model,sources,first_utc,last_utc,time,media,saved,saved_bytes,saved_human,network_bytes,network_human,skipped,dupes,failed,oversized,run_errors,no_structured_finish
"abigailgray256","3","2026-06-01T11:35:35.900Z","2026-06-01T11:38:00.656Z","2.3m","1397","0","0","0 B","305659686","291 MB","1128","964","0","0","0","1"
"acdc34434_laura_fatty","3","2026-06-01T11:38:04.153Z","2026-06-01T11:41:09.242Z","2.9m","1882","0","0","0 B","0","0 B","1663","923","219","0","0","1"
"agirlwholikestoeat","4","2026-06-01T11:41:18.717Z","2026-06-01T12:15:20.210Z","33m","7622","2","1109528","1.1 MB","613268967","585 MB","3697","3381","3920","0","0","1"
"ailihex","3","2026-06-01T12:15:24.581Z","2026-06-01T12:15:47.363Z","0.1m","617","0","0","0 B","35029","34 KB","616","531","0","0","0","1"
"alissbonyt","2","2026-06-01T12:16:34.353Z","2026-06-01T12:27:21.951Z","11m","5225","0","0","0 B","159922303","153 MB","5201","3773","10","0","0","1"
"anybodylost6726","3","2026-06-01T12:27:26.425Z","2026-06-01T12:29:07.692Z","1.5m","1055","2","2773384","2.6 MB","13367773","13 MB","1041","371","0","0","0","1"
"arilove","1","2026-06-01T12:29:11.860Z","2026-06-01T12:29:15.899Z","0.1m","82","0","0","0 B","0","0 B","82","0","0","0","0","1"
"azismiss","3","2026-06-01T12:29:17.770Z","2026-06-01T12:32:20.232Z","2.9m","209","2","57016","56 KB","46938399","45 MB","203","79","0","0","0","1"
"babypinkcow","2","2026-06-01T12:32:22.938Z","2026-06-01T12:32:36.921Z","0.2m","103","0","0","0 B","15874742","15 MB","57","79","0","0","0","1"
"bbw_bonnie","1","2026-06-01T12:33:05.254Z","2026-06-01T12:34:07.923Z","1.0m","2181","0","0","0 B","0","0 B","2181","2181","0","0","0","0"
"bbw_breanna","1","2026-06-01T12:34:15.048Z","2026-06-01T12:34:18.111Z","0.1m","14","0","0","0 B","0","0 B","14","0","0","0","0","1"
"bbw_demetra","3","2026-06-01T12:34:20.602Z","2026-06-01T12:34:54.478Z","0.4m","895","0","0","0 B","0","0 B","894","887","1","0","0","1"
"bbwbellla","3","2026-06-01T12:34:57.774Z","2026-06-01T12:38:43.762Z","3.4m","2457","2","404550","395 KB","12337565","12 MB","2436","2436","5","0","0","1"
"beccabae","2","2026-06-01T12:38:45.731Z","2026-06-01T12:40:16.177Z","1.5m","866","3","291649","285 KB","0","0 B","859","4","0","0","0","1"
"bella_abbondanza","3","2026-06-01T12:40:18.709Z","2026-06-01T12:41:14.073Z","0.5m","1423","0","0","0 B","24279","24 KB","1421","1297","1","0","0","1"
"bellasky_","2","2026-06-01T12:41:28.277Z","2026-06-01T12:41:50.957Z","0.3m","1512","0","0","0 B","3157520","3.0 MB","1481","1346","1","0","0","1"
"bellissimobelly","2","2026-06-01T12:41:54.324Z","2026-06-01T12:43:46.110Z","1.4m","194","76","1126709880","1.0 GB","1233875397","1.1 GB","52","66","0","0","0","1"
"bigbravebabe","1","2026-06-01T12:43:48.666Z","2026-06-01T12:43:52.146Z","0.1m","33","0","0","0 B","0","0 B","33","0","0","0","0","1"
"bit-chh","2","2026-06-01T12:43:55.999Z","2026-06-01T12:45:09.864Z","1.1m","177","57","95427284","91 MB","149413058","142 MB","80","40","0","0","0","1"
"blondiee188","2","2026-06-01T12:45:20.824Z","2026-06-01T12:51:39.744Z","5.9m","935","285","476276298","454 MB","690190303","658 MB","361","289","0","0","0","1"
"bodylovebritt","2","2026-06-01T12:51:46.835Z","2026-06-01T13:39:17.269Z","47m","338","0","0","0 B","958490969","914 MB","335","251","0","0","0","1"
