model,localFiles,localVideos,nasFiles,nasVideos,quarantineFiles,quarantineVideos,bitwiseRefs,bitwiseVideoRefs,bitwiseMissing,bitwiseMissingVideos,visualRefs,visualVideoRefs,visualMissing,visualMissingVideos,seenRefs,seenVideoRefs,seenMissing,seenMissingVideos,logRefs,logVideoRefs,logMissing,logMissingVideos,missingRefs,missingVideoRefs,staleActiveMissingRefs,missingQuarantineRefs
lanabells221,136,0,429,293,0,0,429,293,0,0,422,293,0,0,426,293,0,0,1016,822,590,529,590,529,0,0
anybodylost6726,739,0,945,206,0,0,944,205,0,0,942,204,0,0,503,205,0,0,1095,205,151,0,151,0,0,0
sweetsp666,464,0,726,262,2,1,705,241,0,0,700,258,0,0,63,19,0,0,809,354,126,115,126,115,0,0
abigailgray256,765,0,822,57,0,0,823,57,0,0,819,57,0,0,701,57,0,0,947,62,125,5,125,5,0,0
couchqueenie,3409,0,4496,1087,6,6,4383,973,0,0,4328,973,0,0,3328,897,0,0,4114,1100,115,97,115,97,0,0
alissbonyt,4204,0,5154,950,16,9,4329,125,0,0,4223,125,0,0,4183,61,0,0,5132,902,99,14,99,14,0,10
gurlinaura,238,2,238,2,0,0,238,2,0,0,170,2,0,0,222,2,0,0,333,2,95,0,95,0,0,0
fatteningprincess,575,0,582,7,1,0,575,0,0,0,555,0,0,0,86,0,0,0,669,0,94,0,94,0,0,1
beccabae,747,0,767,20,1,1,762,19,0,0,737,19,0,0,764,20,0,0,859,21,92,1,92,1,0,1
lrm_bbw,425,0,521,96,17,0,521,96,0,0,489,96,0,0,368,33,0,0,565,93,68,2,68,2,0,17
theroxyclover,310,0,422,112,14,0,422,112,0,0,394,112,0,0,227,50,0,0,462,112,68,0,68,0,0,0
acdc34434_laura_fatty,682,0,1077,395,14,7,927,245,0,0,738,246,0,0,890,219,0,0,990,266,63,20,63,20,0,4
littlecurvydevil,105,0,130,25,8,2,130,25,0,0,110,25,0,0,101,1,0,0,185,36,57,11,57,11,0,3
ryyds,147,0,147,0,0,0,147,0,0,0,141,0,0,0,15,0,0,0,197,0,51,0,51,0,0,0
bustyy_b3lle,100,0,133,33,4,2,124,24,0,0,111,24,0,0,20,3,0,0,180,33,50,0,50,0,0,0
doubledenise,360,0,467,107,17,8,381,21,0,0,233,19,0,0,326,1,0,0,427,28,49,7,49,7,0,8
pumpkincakezz,3274,0,3724,450,0,0,3720,448,0,0,3717,448,0,0,526,399,0,0,3640,473,46,46,46,46,0,0
mamahorker_amanda_faye,276,0,407,131,28,14,297,21,0,0,217,21,0,0,69,0,0,0,347,27,44,0,44,0,0,0
mochii_babii,1290,0,1569,279,9,6,1356,66,0,0,1141,66,0,0,622,66,0,0,1395,70,44,4,44,4,0,4
bellasky_,665,0,679,14,43,4,665,0,0,0,244,0,0,0,619,0,0,0,708,0,43,0,43,0,0,35
devi_thikk,467,0,524,57,1,1,524,57,0,0,501,57,0,0,467,0,0,0,567,58,43,1,43,1,0,1
udderly_adorable,238,7,321,90,8,1,279,48,0,0,197,59,0,0,93,5,0,0,331,63,39,1,39,1,0,6
kayla_paolini,342,67,418,143,12,11,413,138,0,0,400,138,0,0,336,67,0,0,454,144,38,1,38,1,0,1
kellijellibelli,2785,0,3178,393,4,4,3164,379,0,0,3154,379,0,0,3160,379,0,0,3208,426,33,33,33,33,0,4
blondiee188,334,0,347,13,7,3,336,2,0,0,306,2,0,0,127,2,0,0,366,2,32,0,32,0,0,1
skylar_bc,496,0,578,82,3,3,578,82,0,0,591,95,0,0,350,0,0,0,609,85,31,3,31,3,0,3
chloe_curvingchloe_bigcuties_,635,0,760,125,39,12,760,125,0,0,748,123,0,0,140,0,0,0,785,136,30,11,30,11,0,18
feederandfeedee,4289,4,4814,529,1,1,4785,500,0,0,4754,501,0,0,4781,500,0,0,4809,528,28,28,28,28,0,0
fatmerida,314,0,487,173,0,0,487,173,0,0,487,173,0,0,440,165,0,0,514,173,27,0,27,0,0,0
kitty_piggy,604,0,881,277,42,22,657,53,0,0,385,53,0,0,274,15,0,0,675,60,27,9,27,9,0,7
snowangelcake,478,0,730,252,12,2,715,237,0,0,645,238,0,0,532,173,0,0,739,239,26,2,26,2,0,9
arilove,50,0,60,10,0,0,60,10,0,0,60,10,0,0,10,10,0,0,82,10,22,0,22,0,0,0
muffinmaid,185,0,304,119,8,8,298,113,0,0,293,114,0,0,176,1,0,0,319,136,21,21,21,21,0,7
thiccollegegirl,261,0,359,98,0,0,325,64,0,0,292,85,0,0,44,1,0,0,374,96,21,1,21,1,0,0
satanpanties666,2866,0,3034,168,0,0,3034,168,0,0,3010,168,0,0,2925,160,0,0,2952,187,19,19,19,19,0,0
moonikuko,259,0,259,0,0,0,258,0,0,0,251,0,0,0,249,0,0,0,277,0,18,0,18,0,0,0
cassandracavallieri,920,0,1380,460,0,0,1242,322,0,0,1133,322,0,0,1143,322,0,0,1322,426,17,2,17,2,0,0
darya_smirnova,164,0,217,53,5,3,170,6,0,0,170,6,0,0,163,0,0,0,187,7,17,1,17,1,0,1
sabrina_ssbbw,403,0,425,22,1,1,425,22,0,0,385,31,0,0,403,0,0,0,441,23,16,1,16,1,0,1
bella_abbondanza,1115,0,1412,297,4,3,1410,295,0,0,1408,295,0,0,1380,265,0,0,1418,287,15,0,15,0,0,0
lilmamakay,145,0,159,14,2,1,156,12,0,0,136,12,0,0,12,0,0,0,168,15,15,1,15,1,0,2
redheadchubbybunni,242,0,292,50,5,0,292,50,0,0,286,50,0,0,177,3,0,0,300,50,15,0,15,0,0,3
agirlwholikestoeat,2493,0,2779,286,4,4,2502,9,0,0,2412,9,0,0,2450,0,0,0,2750,292,13,6,13,6,0,4
plumpprincess,39,0,242,203,10,8,232,193,0,0,298,272,0,0,11,0,0,0,242,212,13,10,13,10,0,5
bodylovebritt,174,0,367,193,3,2,322,148,0,0,322,149,0,0,142,1,0,0,335,153,12,3,12,3,0,0
carmen_lafox,117,0,129,12,0,0,122,5,0,0,115,5,0,0,117,0,0,0,141,12,12,0,12,0,0,0
mary_boberry,219,0,274,55,7,1,274,55,0,0,266,54,0,0,7,0,0,0,284,61,12,6,12,6,0,0
passion,399,0,442,43,6,3,412,13,0,0,387,18,0,0,30,0,0,0,426,15,12,0,12,0,0,0
